battery_id,cycle,SOH,capacity,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
B0005,0,0.9282437104090786,1.8564874208181572,4.188958002626703,0.03594582705628999,5.035397243807395,-2.313537104887006,7589.531,8.853297694333309,2.354326887850318e-05,1.0081810598473129,0.2531625228180722,0.11126387419985337,-0.9630907571616008,0.48882014987441835,2350.157,0.15760753676566044,-0.0001678791445366746,2.200483251087798
B0005,1,0.9231636248599635,1.846327249719927,4.177175720059363,0.05659454406497243,1.4707315831375976,-1.7283466359711097,8733.953,10.158983172393992,2.0130327982255686e-05,1.1950690021128603,0.2428723310683741,0.10857316497546501,-0.7329148670224002,0.6330353319848216,2591.125,0.17055397934569447,-0.00015260071626844383,2.1638234763809625
B0005,2,0.917674597111704,1.835349194223408,4.177158743629461,0.05636085013923391,1.5292397029745715,-1.7404545995043565,8678.485,10.093871217434998,2.0100515031839057e-05,1.21918881740955,0.24506355945795974,0.11042645467736703,-0.793723351782134,0.6103554189241186,2554.7659999999996,0.16976347101113598,-0.00015533469434669567,2.157705324365609
B0005,3,0.9176312637910564,1.8352625275821128,4.17760281874967,0.05593800564359546,1.5850919068066718,-1.7562067046494463,8581.812,9.982135050421592,2.0337768820245055e-05,1.2030775815287007,0.24305302007979432,0.10985541092949987,-0.721997606813467,0.6370420965616043,2550.1089999999995,0.1681480750946019,-0.00015376785468515476,2.155970208107638
B0005,4,0.9173227541060208,1.8346455082120416,4.177489955963958,0.05575187771011278,1.6355628658766044,-1.7659386057148998,8671.407,10.085643204971733,2.0218905412417202e-05,1.242340150432967,0.2470382559415454,0.1121589019357134,-0.7627394723593914,0.6215516694576676,2527.656,0.1694512107031611,-0.00015505207199142574,2.176311785537482
B0005,5,0.9178308300337746,1.8356616600675493,4.17811948843311,0.055089300373984365,1.8081096629358306,-1.8104621795780216,8961.422,10.423955677399892,1.9569260731061072e-05,1.2440600609577595,0.24471553995783651,0.1114418670688605,-0.7399474167278477,0.6323340182888603,2526.8279999999995,0.1678890568594915,-0.00015600997389571562,2.177311092036061
B0005,6,0.9175730714613302,1.8351461429226603,4.178251697585107,0.054543698919997094,1.867636354922797,-1.822987574278297,8938.563,10.39703785244048,1.955306582739853e-05,1.2665803992264069,0.24517741884225117,0.11274546098604342,-0.7504178576823817,0.6382455382286266,2538.469,0.16890023254688882,-0.00015409499197604305,2.163680925198578
B0005,7,0.9128783952832767,1.8257567905665535,4.177768540999602,0.05612843289620057,1.5675304424837382,-1.7538482734373015,8267.469,9.616568599366676,2.1068022404707073e-05,1.1699968337718358,0.24611271463123632,0.11029329830811235,-0.7568914864414187,0.6225680143690141,2459.7339999999995,0.16446347319332208,-0.00015782450043337883,2.172412093729433
B0005,8,0.9123869264945667,1.8247738529891333,4.177783269011391,0.0558625106613626,1.6052864234552207,-1.7601275363362585,8299.764999999994,9.653827267944973,2.1088593146083474e-05,1.2126506604134586,0.24645860329979935,0.1122365535600533,-0.7615293642560679,0.6260319269514923,2503.9219999999978,0.16755710886991373,-0.00015730438660200013,2.1853244427486747
B0005,9,0.912306634248468,1.824613268496936,4.1779689617104205,0.055772565592280644,1.6253289347080138,-1.7667937805350435,8310.375,9.666601335803563,2.1055800797685556e-05,1.1995793103682875,0.24392892852211842,0.11104319593356987,-0.7939723830743639,0.614063224509373,2518.218,0.16679067053035568,-0.00015569302289268622,2.1682851268835615
